trial,endState,user,redirector,resetCount,virtualDistance,gtChangeMax,gcChangeMax,gtChangeAvg,gcChangeAvg
139,Normal,0,PredRedLPP,1,99.97177,2.6,10,0.01710114,0.1619743
139,Normal,1,PredRedLPP,0,99.99764,1.399999,3,0.05839412,0.2262774
140,Normal,0,PredRedLPP,3,99.97415,4,8,0.05620388,0.2952478
140,Normal,1,PredRedLPP,3,100.002,4,8.333334,0.04310624,0.2854269
141,Normal,0,PredRedLPP,0,100.0054,1.399999,2.333333,0.00582726,0.164759
141,Normal,1,PredRedLPP,1,99.97968,2.6,10,0.008324662,0.1944405
142,Normal,0,PredRedLPP,1,100.0026,1.399999,8.571428,0.02943003,0.3119172
142,Normal,1,PredRedLPP,1,99.96597,2.600001,6,0.09754741,0.2453985
143,Normal,0,PredRedLPP,0,100.0004,1.399999,5.714286,0.01241969,0.2031204
143,Normal,1,PredRedLPP,0,99.97243,0,10,0,0.1541756
144,Normal,0,PredRedLPP,0,99.99964,0.9999996,8,0.002582896,0.124009
144,Normal,1,PredRedLPP,1,99.9775,2.6,5.142857,0.01717277,0.1629519
145,Normal,0,PredRedLPP,4,100.0041,2.600001,8.571428,0.06400775,0.2589402
145,Normal,1,PredRedLPP,3,99.97148,1.4,8.571428,0.0412451,0.2671855
146,Normal,0,PredRedLPP,0,99.97691,1.199999,6,0.005982903,0.1978022
146,Normal,1,PredRedLPP,0,99.9974,1.399999,2,0.005413103,0.1025641
147,Normal,0,PredRedLPP,0,99.99792,1.199999,7.666667,0.003020495,0.1157857
147,Normal,1,PredRedLPP,0,99.97343,2.228572,8,0.01711614,0.1966919
148,Normal,0,PredRedLPP,1,100.0052,2.6,8,0.05065588,0.2633706
148,Normal,1,PredRedLPP,2,99.98744,3.533334,8.333334,0.1575513,0.3712459
149,Normal,0,PredRedLPP,1,99.97826,2.6,7.142858,0.02832469,0.2103628
149,Normal,1,PredRedLPP,2,99.99621,1.399999,7.142858,0.01236614,0.1839132
150,Normal,0,PredRedLPP,5,100.0041,2.6,10,0.0721714,0.4129848
150,Normal,1,PredRedLPP,8,99.98531,3.3,10,0.1073039,0.5592768
151,Normal,0,PredRedLPP,5,100.0016,2.600001,10,0.05039915,0.2979869
151,Normal,1,PredRedLPP,29,99.97551,2.833333,10,0.1333071,0.4745595
152,Normal,0,PredRedLPP,20,99.98002,2.600001,10,0.08958664,0.382627
152,Normal,1,PredRedLPP,7,100.0027,3.228572,10,0.06942264,0.313623
153,Normal,0,PredRedLPP,16,99.97684,2.600001,10,0.1070148,0.3730034
153,Normal,1,PredRedLPP,3,100.0017,1.399999,8.571428,0.02383965,0.2181284
154,Normal,0,PredRedLPP,32,100.0087,2.600001,10,0.1015357,0.3113082
154,Normal,1,PredRedLPP,58,99.99084,2.600001,10,0.166338,0.3823143
155,Normal,0,PredRedLPP,13,100.0022,2.600001,10,0.09059902,0.3795539
155,Normal,1,PredRedLPP,23,99.98203,2.600001,10,0.1145846,0.390251
156,Normal,0,PredRedLPP,19,99.97081,2.833334,10,0.09390663,0.3531626
156,Normal,1,PredRedLPP,11,99.9986,2.600001,10,0.07571216,0.3205184
157,Normal,0,PredRedLPP,3,100.012,2.600001,10,0.06030977,0.2800016
157,Normal,1,PredRedLPP,14,99.97395,2.666668,10,0.09482405,0.3448739
158,Normal,0,PredRedLPP,6,100.0002,2.600001,10,0.0638197,0.2544201
158,Normal,1,PredRedLPP,40,99.99228,2.600001,10,0.1436537,0.4183189
159,Normal,0,PredRedLPP,4,100.0005,2.600001,10,0.05512266,0.2995109
159,Normal,1,PredRedLPP,20,99.98071,2.600001,10,0.1042551,0.4634146
160,Normal,0,PredRedLPP,5,100.0062,2.600001,10,0.09384455,0.3204412
160,Normal,1,PredRedLPP,16,99.98079,2.600001,10,0.09375513,0.4167226
161,Normal,0,PredRedLPP,11,100.0003,2.600001,10,0.05642148,0.2556446
161,Normal,1,PredRedLPP,22,99.97655,2.88,10,0.1074728,0.3399923
162,Normal,0,PredRedLPP,18,99.97756,2.600001,10,0.1002045,0.416557
162,Normal,1,PredRedLPP,14,100.005,3.533333,10,0.114461,0.3645923
163,Normal,0,PredRedLPP,78,99.96814,3.428571,10,0.177016,0.4427425
163,Normal,1,PredRedLPP,68,100.0017,2.833333,8.571428,0.1521879,0.3511527
164,Normal,0,PredRedLPP,62,99.99961,2.600001,10,0.1518258,0.4294034
164,Normal,1,PredRedLPP,70,99.97599,2.600001,10,0.163099,0.4055831
165,Normal,0,PredRedLPP,6,99.99905,2.600001,10,0.0728668,0.3271507
165,Normal,1,PredRedLPP,7,99.9733,2.6,10,0.05763395,0.3012366
166,Normal,0,PredRedLPP,8,100.0003,2.600001,10,0.1054184,0.3819251
166,Normal,1,PredRedLPP,11,99.97347,2.857143,10,0.07988655,0.3137589
167,Normal,0,PredRedLPP,18,99.9753,2.600001,10,0.09489748,0.331392
167,Normal,1,PredRedLPP,13,100.0016,2.600001,10,0.09184617,0.3630403
168,Normal,0,PredRedLPP,8,100.0012,4,10,0.04627519,0.3110471
168,Normal,1,PredRedLPP,8,99.98355,2.600001,10,0.09330998,0.3726472
169,Normal,0,PredRedLPP,3,100.0031,2.600001,10,0.02909763,0.172676
169,Normal,1,PredRedLPP,28,99.99379,2.88,9.2,0.142674,0.4393687
170,Normal,0,PredRedLPP,7,99.98363,2.600001,10,0.07554802,0.4425057
170,Normal,1,PredRedLPP,7,100.0038,2.600001,8.333334,0.07411555,0.404089
171,Normal,0,PredRedLPP,26,99.97726,2.600001,10,0.1275282,0.4051296
171,Normal,1,PredRedLPP,5,100.0006,2.600001,10,0.0478732,0.2612359
172,Normal,0,PredRedLPP,16,99.97179,2.600001,10,0.09819045,0.3945151
172,Normal,1,PredRedLPP,9,100.0027,3.428572,10,0.08546703,0.3607956
173,Normal,0,PredRedLPP,9,100.003,2.6,8.571428,0.07305025,0.3197335
173,Normal,1,PredRedLPP,12,99.97936,2.600001,10,0.07906111,0.4467311
174,Normal,0,PredRedLPP,4,100.0016,2.6,10,0.02942779,0.1632283
174,Normal,1,PredRedLPP,27,99.9698,2.600001,10,0.1166408,0.4054755
175,Normal,0,PredRedLPP,55,99.9927,2.600001,10,0.1497005,0.356866
175,Normal,1,PredRedLPP,38,100.0026,2.600001,10,0.1114127,0.3166581
176,Normal,0,PredRedLPP,1,100.0008,2.600001,8.333334,0.03652325,0.2117563
176,Normal,1,PredRedLPP,9,99.98363,2.600001,10,0.1044107,0.3444541
177,Normal,0,PredRedLPP,7,99.99998,2.600001,8.571428,0.04303727,0.2425988
177,Normal,1,PredRedLPP,13,99.9857,2.600001,10,0.1285558,0.4960447
