trial,endState,user,redirector,resetCount,virtualDistance,gtChangeMax,gcChangeMax,gtChangeAvg,gcChangeAvg
187,Normal,0,PredRedLPP,8,99.96906,3.800001,2.285714,0.1693727,0.1511041
188,Normal,0,PredRedLPP,8,99.98041,3.800001,2.666667,0.1756752,0.1703388
189,Normal,0,PredRedLPP,8,99.98887,3.100001,2.666667,0.1979205,0.1762051
190,Normal,0,PredRedLPP,8,99.97329,4,2.666667,0.1511391,0.1317232
191,Normal,0,PredRedLPP,7,99.96532,3.000001,2.666667,0.1939534,0.2455228
192,Normal,0,PredRedLPP,11,99.98424,4,2.666667,0.07931405,0.04218854
193,Normal,0,PredRedLPP,8,99.96472,4,2.666667,0.1589033,0.1445295
194,Normal,0,PredRedLPP,7,99.96428,4,2.666667,0.1908404,0.2342731
195,Normal,0,PredRedLPP,8,99.97253,3.428571,2.666667,0.1521305,0.1295169
196,Normal,0,PredRedLPP,8,99.97828,3.428572,2.666667,0.1574931,0.1321165
197,Normal,0,PredRedLPP,8,99.98,4,2.666667,0.1848449,0.1628786
198,Normal,0,PredRedLPP,7,99.97141,4,2.666667,0.1675943,0.145537
199,Normal,0,PredRedLPP,7,99.98177,3.333334,2.666667,0.2052324,0.1833824
200,Normal,0,PredRedLPP,7,99.97037,4,2.666667,0.1500466,0.1287922
201,Normal,0,PredRedLPP,8,99.97735,3.428572,2.666667,0.1413116,0.1183497
202,Normal,0,PredRedLPP,8,99.98315,4,2.666667,0.1457434,0.1179627
203,Normal,0,PredRedLPP,8,99.98282,4,2.285714,0.1494439,0.1265834
204,Normal,0,PredRedLPP,8,99.98098,3.428572,2.666667,0.1824828,0.2405259
205,Normal,0,PredRedLPP,8,99.97002,3.333334,2.666667,0.1568769,0.1395109
206,Normal,0,PredRedLPP,8,99.96948,3.000001,2.666667,0.1773931,0.2359425
207,Normal,0,PredRedLPP,7,99.97088,3.428572,2.666667,0.1464675,0.1245535
208,Normal,0,PredRedLPP,8,99.96746,4,2.666667,0.1748792,0.1513688
209,Normal,0,PredRedLPP,8,99.97498,4,2.666667,0.1575647,0.1356237
210,Normal,0,PredRedLPP,8,99.96777,2.6,2.666667,0.1946545,0.2583574
211,Normal,0,PredRedLPP,8,99.96905,4,2.666667,0.1797947,0.1603672
212,Normal,0,PredRedLPP,8,99.96927,4,2.666667,0.1468485,0.1221934
213,Normal,0,PredRedLPP,7,99.98241,3.766667,2.666667,0.1666667,0.1436802
214,Normal,0,PredRedLPP,7,99.96994,3.428572,2.666667,0.1546848,0.1335918
215,Normal,0,PredRedLPP,8,99.96458,4,2.666667,0.1606947,0.1376512
216,Normal,0,PredRedLPP,8,99.97756,4,2.666667,0.1448752,0.1185681
217,Normal,0,PredRedLPP,11,99.97633,4,2,0.08328892,0.04330645
218,Normal,0,PredRedLPP,8,99.97807,3.099999,2.285714,0.1890251,0.1693592
219,Normal,0,PredRedLPP,8,99.98007,4,2.666667,0.1795842,0.2389057
220,Normal,0,PredRedLPP,8,99.9691,4,2.666667,0.1505005,0.1239222
221,Normal,0,PredRedLPP,8,99.96362,4,2.666667,0.1654847,0.1483296
222,Normal,0,PredRedLPP,7,99.97132,4,2.666667,0.1415814,0.1207235
223,Normal,0,PredRedLPP,7,99.98614,4,2.666667,0.1961905,0.173272
224,Normal,0,PredRedLPP,8,99.97821,3.333332,2.285714,0.137693,0.1151046
225,Normal,0,PredRedLPP,8,99.97563,3.428572,2.666667,0.1800486,0.2223383
226,Normal,0,PredRedLPP,8,99.97742,3.333332,2.285714,0.1483303,0.1248446
227,Normal,0,PredRedLPP,7,99.97325,4,2.285714,0.169128,0.1541738
228,Normal,0,PredRedLPP,8,99.97877,2.866665,2.666667,0.1541212,0.1390476
229,Normal,0,PredRedLPP,7,99.96621,3.428572,2.285714,0.1562136,0.1377143
230,Normal,0,PredRedLPP,8,99.97706,3.200001,2.666667,0.1590589,0.1386816
231,Normal,0,PredRedLPP,8,99.96932,3.428572,2.285714,0.1553663,0.1328343
232,Normal,0,PredRedLPP,9,99.9789,2.857143,2.666667,0.1618188,0.2258578
233,Normal,0,PredRedLPP,7,99.98125,3.428571,2.666667,0.1531202,0.1299412
234,Normal,0,PredRedLPP,8,99.9783,4,2.666667,0.1661737,0.2132442
235,Normal,0,PredRedLPP,8,99.97714,4,2.666667,0.1617145,0.1453109
236,Normal,0,PredRedLPP,7,99.98943,3.766667,2.222222,0.2023941,0.1777426
237,Normal,0,PredRedLPP,8,99.96877,4,2.285714,0.1453991,0.1228055
238,Normal,0,PredRedLPP,7,99.98849,3.333334,2.666667,0.1378773,0.1188031
239,Normal,0,PredRedLPP,11,99.98109,4,1.777778,0.07754772,0.03382818
240,Normal,0,PredRedLPP,11,99.96599,3.428572,2.666667,0.08109415,0.05368478
241,Normal,0,PredRedLPP,8,99.97675,3.800001,2.666667,0.1747362,0.1640508
242,Normal,0,PredRedLPP,11,99.98882,4,1.52381,0.07901436,0.02960558
243,Normal,0,PredRedLPP,11,99.97533,3.428571,2.666667,0.07636656,0.04294392
244,Normal,0,PredRedLPP,11,99.97537,4,2.666667,0.07625167,0.04167528
245,Normal,0,PredRedLPP,7,99.97429,4,2.666667,0.1517857,0.1364423
